image_id,abnormality_id,abnormality_type,x_centre,y_centre,width_scaled,height_scaled
IMG_00057,IMG_00057_annotation_001,Surface depression,0.5183,0.4671,0.0721,0.1362
IMG_00058,IMG_00058_annotation_000,Pothole,0.6182,0.5144,0.1045,0.109
IMG_00059,IMG_00059_annotation_000,Road patch failure,0.5792,0.4487,0.0541,0.0673
IMG_00060,IMG_00060_annotation_000,Surface depression,0.6124,0.4095,0.0815,0.0721
IMG_00061,IMG_00061_annotation_000,Surface depression,0.3911,0.4255,0.067,0.0913
IMG_00062,IMG_00062_annotation_000,Surface depression,0.6445,0.6338,0.1557,0.4984
IMG_00063,IMG_00063_annotation_000,Surface depression,0.4675,0.351,0.142,0.1699
IMG_00063,IMG_00063_annotation_001,Surface depression,0.6996,0.7188,0.3496,0.4728
IMG_00064,IMG_00064_annotation_000,Road patch failure,0.39,0.5697,0.0764,0.1587
IMG_00065,IMG_00065_annotation_000,Surface depression,0.271,0.4696,0.1701,0.1763
IMG_00065,IMG_00065_annotation_001,Surface depression,0.4797,0.6482,0.0829,0.3542
IMG_00066,IMG_00066_annotation_000,Surface depression,0.3824,0.6226,0.4765,0.383
IMG_00066,IMG_00066_annotation_001,Surface depression,0.7674,0.6074,0.2429,0.2596
IMG_00066,IMG_00066_annotation_002,Manhole,0.7868,0.3846,0.1132,0.0962
IMG_00066,IMG_00066_annotation_003,Surface depression,0.9379,0.9111,0.1241,0.1779
IMG_00066,IMG_00066_annotation_004,Surface depression,0.4311,0.3726,0.3215,0.0913
IMG_00067,IMG_00067_annotation_000,Surface depression,0.4906,0.4447,0.2127,0.2708
IMG_00068,IMG_00068_annotation_000,Road patch failure,0.5172,0.3494,0.0382,0.0481
IMG_00068,IMG_00068_annotation_001,Road patch failure,0.8067,0.3966,0.0807,0.0561
IMG_00069,IMG_00069_annotation_000,Surface depression,0.7133,0.4157,0.23,0.1583
IMG_00069,IMG_00069_annotation_001,Surface depression,0.9312,0.6731,0.1258,0.1603
IMG_00069,IMG_00069_annotation_002,Surface depression,0.0609,0.605,0.1218,0.3381
IMG_00069,IMG_00069_annotation_003,Surface depression,0.4252,0.4796,0.2222,0.1971
IMG_00070,IMG_00070_annotation_000,Surface depression,0.4444,0.7196,0.1492,0.5321
IMG_00071,IMG_00071_annotation_000,Surface depression,0.4978,0.5288,0.2054,0.2115
IMG_00072,IMG_00072_annotation_000,Surface depression,0.4304,0.506,0.1719,0.137
IMG_00073,IMG_00073_annotation_000,Surface depression,0.2855,0.7284,0.5709,0.524
IMG_00073,IMG_00073_annotation_001,Surface depression,0.4347,0.3766,0.1355,0.0545
IMG_00073,IMG_00073_annotation_002,Surface depression,0.7202,0.5096,0.2235,0.1058
IMG_00074,IMG_00074_annotation_000,Pothole,0.4974,0.6472,0.1417,0.099
IMG_00075,IMG_00075_annotation_000,Surface depression,0.5393,0.6342,0.1844,0.3638
IMG_00075,IMG_00075_annotation_001,Surface depression,0.3666,0.6843,0.1233,0.0994
IMG_00075,IMG_00075_annotation_002,Surface depression,0.7575,0.5331,0.1103,0.095
IMG_00076,IMG_00076_annotation_000,Surface depression,0.1334,0.5921,0.2264,0.1587
IMG_00077,IMG_00077_annotation_000,Surface depression,0.5951,0.75,0.2804,0.4744
IMG_00077,IMG_00077_annotation_001,Road patch failure,0.4956,0.4752,0.044,0.0593
IMG_00077,IMG_00077_annotation_002,Surface depression,0.341,0.9062,0.1326,0.1875
IMG_00078,IMG_00078_annotation_000,Surface depression,0.496,0.609,0.1658,0.3013
IMG_00078,IMG_00078_annotation_001,Surface depression,0.4459,0.387,0.1117,0.117
IMG_00079,IMG_00079_annotation_000,Surface depression,0.5601,0.8974,0.1427,0.2051
IMG_00079,IMG_00079_annotation_001,Surface depression,0.4588,0.5088,0.1305,0.1202
IMG_00079,IMG_00079_annotation_002,Surface depression,0.4578,0.6571,0.0923,0.1122
IMG_00080,IMG_00080_annotation_000,Pothole,0.3467,0.5553,0.1225,0.1266
IMG_00081,IMG_00081_annotation_000,Pothole,0.5857,0.6963,0.1449,0.1362
IMG_00081,IMG_00081_annotation_001,Surface depression,0.3302,0.7612,0.1932,0.4776
IMG_00082,IMG_00082_annotation_000,Surface depression,0.4682,0.6522,0.0843,0.1346
IMG_00083,IMG_00083_annotation_000,Surface depression,0.4268,0.7612,0.395,0.3365
IMG_00083,IMG_00083_annotation_001,Surface depression,0.434,0.496,0.16,0.1651
IMG_00085,IMG_00085_annotation_000,Surface depression,0.4735,0.7019,0.3206,0.1979
IMG_00086,IMG_00086_annotation_000,Surface depression,0.2687,0.3421,0.4125,0.1374
IMG_00086,IMG_00086_annotation_001,Surface depression,0.15,0.4802,0.285,0.1271
IMG_00086,IMG_00086_annotation_002,Road patch failure,0.4783,0.4817,0.0933,0.0561
IMG_00086,IMG_00086_annotation_003,Surface depression,0.6438,0.8443,0.7125,0.3115
IMG_00086,IMG_00086_annotation_004,Surface depression,0.6746,0.56,0.1892,0.1803
IMG_00087,IMG_00087_annotation_000,Surface depression,0.4604,0.5578,0.2825,0.1936
IMG_00087,IMG_00087_annotation_001,Surface depression,0.4892,0.84,0.575,0.297
IMG_00087,IMG_00087_annotation_002,Road patch failure,0.7967,0.6316,0.11,0.0694
IMG_00087,IMG_00087_annotation_003,Surface depression,0.7754,0.4462,0.2508,0.1152
IMG_00088,IMG_00088_annotation_000,Road patch failure,0.5933,0.5016,0.18,0.0813
IMG_00089,IMG_00089_annotation_000,Surface depression,0.5967,0.54,0.2133,0.1492
IMG_00089,IMG_00089_annotation_001,Surface depression,0.3013,0.6546,0.1825,0.133
IMG_00089,IMG_00089_annotation_002,Surface depression,0.8279,0.828,0.3442,0.344
IMG_00089,IMG_00089_annotation_003,Surface depression,0.4725,0.3561,0.0933,0.068
IMG_00089,IMG_00089_annotation_004,Surface depression,0.3738,0.5075,0.2075,0.1226
IMG_00089,IMG_00089_annotation_005,Surface depression,0.4196,0.2852,0.0858,0.0502
IMG_00090,IMG_00090_annotation_000,Surface depression,0.3842,0.5799,0.1167,0.1049
IMG_00090,IMG_00090_annotation_001,Surface depression,0.5104,0.8265,0.3992,0.3469
IMG_00091,IMG_00091_annotation_000,Surface depression,0.4229,0.7645,0.4208,0.471
IMG_00091,IMG_00091_annotation_001,Surface depression,0.2704,0.4233,0.1208,0.1138
IMG_00091,IMG_00091_annotation_002,Surface depression,0.4392,0.4543,0.1733,0.096
IMG_00092,IMG_00092_annotation_000,Surface depression,0.4792,0.811,0.2117,0.378
IMG_00092,IMG_00092_annotation_001,Crack,0.5621,0.5016,0.0892,0.1551
IMG_00093,IMG_00093_annotation_000,Pothole,0.5062,0.4706,0.0908,0.0606
IMG_00094,IMG_00094_annotation_000,Pothole,0.4554,0.6331,0.2342,0.1374
IMG_00094,IMG_00094_annotation_001,Pothole,0.9579,0.5725,0.0842,0.0813
IMG_00094,IMG_00094_annotation_002,Pothole,0.7183,0.4743,0.0717,0.0414
IMG_00094,IMG_00094_annotation_003,Pothole,0.4179,0.4957,0.0658,0.0458
IMG_00094,IMG_00094_annotation_004,Pothole,0.5363,0.4839,0.1008,0.0488
IMG_00095,IMG_00095_annotation_000,Pothole,0.3525,0.7705,0.1533,0.1167
IMG_00095,IMG_00095_annotation_001,Pothole,0.7421,0.8186,0.1358,0.1182
IMG_00095,IMG_00095_annotation_002,Pothole,0.7796,0.574,0.2475,0.1345
IMG_00095,IMG_00095_annotation_003,Pothole,0.1342,0.5519,0.05,0.0724
IMG_00095,IMG_00095_annotation_004,Pothole,0.2375,0.557,0.1367,0.0709
IMG_00095,IMG_00095_annotation_005,Pothole,0.9383,0.8252,0.1233,0.1256
IMG_00096,IMG_00096_annotation_000,Pothole,0.5708,0.7395,0.2967,0.1226
IMG_00097,IMG_00097_annotation_000,Road patch failure,0.39,0.6893,0.1067,0.1079
IMG_00098,IMG_00098_annotation_000,Surface depression,0.4704,0.6523,0.2092,0.102
IMG_00098,IMG_00098_annotation_001,Surface depression,0.7171,0.577,0.1408,0.0694
IMG_00099,IMG_00099_annotation_000,Pothole,0.4346,0.9344,0.2658,0.1312
IMG_00099,IMG_00099_annotation_001,Surface depression,0.5967,0.6952,0.48,0.3059
IMG_00100,IMG_00100_annotation_000,Surface depression,0.2742,0.8029,0.3867,0.3942
IMG_00100,IMG_00100_annotation_001,Surface depression,0.6837,0.4167,0.1808,0.2009
IMG_00100,IMG_00100_annotation_002,Pothole,0.5267,0.5999,0.1183,0.1005
IMG_00101,IMG_00101_annotation_000,Surface depression,0.4604,0.4721,0.2342,0.1285
IMG_00102,IMG_00102_annotation_000,Manhole,0.55,0.6435,0.1117,0.0754
IMG_00102,IMG_00102_annotation_001,Surface depression,0.3654,0.738,0.1825,0.232
IMG_00102,IMG_00102_annotation_002,Surface depression,0.7033,0.5696,0.1467,0.1729
IMG_00102,IMG_00102_annotation_003,Surface depression,0.8596,0.859,0.2808,0.2819
IMG_00103,IMG_00103_annotation_000,Surface depression,0.4558,0.5777,0.4467,0.2009
IMG_00104,IMG_00104_annotation_000,Surface depression,0.5254,0.4551,0.1392,0.13
IMG_00104,IMG_00104_annotation_001,Surface depression,0.8179,0.5733,0.1325,0.1625
IMG_00104,IMG_00104_annotation_002,Surface depression,0.2783,0.5925,0.4367,0.2482
IMG_00105,IMG_00105_annotation_000,Pothole,0.3575,0.7144,0.2083,0.229
IMG_00105,IMG_00105_annotation_001,Pothole,0.5437,0.5866,0.1142,0.1625
IMG_00105,IMG_00105_annotation_002,Surface depression,0.2675,0.5046,0.1617,0.1906
IMG_00106,IMG_00106_annotation_000,Surface depression,0.5367,0.3177,0.1183,0.068
IMG_00107,IMG_00107_annotation_000,Pothole,0.2013,0.4507,0.2258,0.2482
IMG_00107,IMG_00107_annotation_001,Pothole,0.1604,0.2165,0.0775,0.0547
IMG_00108,IMG_00108_annotation_000,Pothole,0.3483,0.4972,0.1133,0.0754
IMG_00109,IMG_00109_annotation_000,Road patch failure,0.5533,0.7713,0.125,0.1359
IMG_00110,IMG_00110_annotation_000,Pothole,0.4671,0.6043,0.1008,0.0768
IMG_00110,IMG_00110_annotation_001,Surface depression,0.6492,0.8775,0.2133,0.245
IMG_00110,IMG_00110_annotation_002,Road patch failure,0.6687,0.3997,0.0592,0.0783
IMG_00111,IMG_00111_annotation_000,Surface depression,0.3892,0.5024,0.405,0.2128
IMG_00111,IMG_00111_annotation_001,Surface depression,0.4404,0.8317,0.3208,0.3366
IMG_00111,IMG_00111_annotation_002,Pothole,0.8425,0.9204,0.1617,0.1593
IMG_00112,IMG_00112_annotation_000,Pothole,0.3446,0.5541,0.2208,0.1359
IMG_00112,IMG_00112_annotation_001,Pothole,0.2517,0.7188,0.1117,0.099
IMG_00112,IMG_00112_annotation_002,Pothole,0.5325,0.5297,0.1483,0.1433
IMG_00113,IMG_00113_annotation_000,Pothole,0.3342,0.7122,0.2717,0.2866
IMG_00113,IMG_00113_annotation_001,Pothole,0.605,0.6679,0.2383,0.2807
IMG_00113,IMG_00113_annotation_002,Pothole,0.0725,0.6782,0.135,0.0591
IMG_00114,IMG_00114_annotation_000,Pothole,0.7171,0.7564,0.3142,0.4873
IMG_00115,IMG_00115_annotation_000,Surface depression,0.5217,0.5821,0.145,0.2069
IMG_00116,IMG_00116_annotation_000,Pothole,0.5892,0.4041,0.095,0.0517
IMG_00116,IMG_00116_annotation_001,Manhole,0.3817,0.3361,0.0917,0.0488
IMG_00117,IMG_00117_annotation_000,Pothole,0.5725,0.7905,0.2217,0.263
IMG_00117,IMG_00117_annotation_001,Manhole,0.0992,0.608,0.175,0.1374
IMG_00118,IMG_00118_annotation_000,Surface depression,0.4721,0.5622,0.4275,0.1404
IMG_00118,IMG_00118_annotation_001,Surface depression,0.7479,0.5792,0.1025,0.1596
IMG_00119,IMG_00119_annotation_000,Surface depression,0.3875,0.4388,0.415,0.1655
IMG_00120,IMG_00120_annotation_000,Surface depression,0.5254,0.7292,0.3875,0.4063
IMG_00120,IMG_00120_annotation_001,Surface depression,0.8679,0.7881,0.2642,0.4238
IMG_00121,IMG_00121_annotation_000,Surface depression,0.6262,0.7609,0.3925,0.3191
IMG_00121,IMG_00121_annotation_001,Pothole,0.4408,0.441,0.11,0.0813
IMG_00122,IMG_00122_annotation_000,Pothole,0.5329,0.5962,0.1158,0.0783
IMG_00122,IMG_00122_annotation_001,Pothole,0.1812,0.365,0.0325,0.0591
IMG_00123,IMG_00123_annotation_000,Pothole,0.4617,0.6597,0.2,0.1433
IMG_00123,IMG_00123_annotation_001,Pothole,0.5825,0.6206,0.12,0.1034
IMG_00123,IMG_00123_annotation_002,Pothole,0.3021,0.4972,0.0992,0.0635
IMG_00123,IMG_00123_annotation_003,Surface depression,0.1237,0.5245,0.0692,0.13
IMG_00123,IMG_00123_annotation_004,Surface depression,0.1975,0.8828,0.1533,0.2261
IMG_00124,IMG_00124_annotation_000,Surface depression,0.2733,0.8206,0.1683,0.3587
IMG_00124,IMG_00124_annotation_001,Surface depression,0.5079,0.5201,0.2125,0.1862
IMG_00124,IMG_00124_annotation_002,Surface depression,0.2825,0.4883,0.1933,0.2556
IMG_00125,IMG_00125_annotation_000,Surface depression,0.4558,0.7454,0.4483,0.4861
IMG_00126,IMG_00126_annotation_000,Surface depression,0.5271,0.6797,0.3775,0.328
IMG_00127,IMG_00127_annotation_000,Surface depression,0.4688,0.6154,0.2975,0.1699
IMG_00128,IMG_00128_annotation_000,Pothole,0.4996,0.6346,0.2175,0.1699
IMG_00129,IMG_00129_annotation_000,Surface depression,0.5587,0.8097,0.2008,0.2039
IMG_00130,IMG_00130_annotation_000,Pothole,0.59,0.7343,0.3183,0.2571
IMG_00130,IMG_00130_annotation_001,Surface depression,0.9308,0.6028,0.1383,0.3339
IMG_00131,IMG_00131_annotation_000,Surface depression,0.635,0.7122,0.3617,0.1743
IMG_00132,IMG_00132_annotation_000,Surface depression,0.29,0.7432,0.48,0.2364
IMG_00133,IMG_00133_annotation_000,Surface depression,0.4158,0.6198,0.2267,0.1876
IMG_00134,IMG_00134_annotation_000,Surface depression,0.45,0.7632,0.3333,0.2024
IMG_00134,IMG_00134_annotation_001,Surface depression,0.4988,0.4543,0.1958,0.0724
IMG_00135,IMG_00135_annotation_000,Pothole,0.3358,0.628,0.16,0.0975
IMG_00135,IMG_00135_annotation_001,Surface depression,0.5579,0.6501,0.2025,0.1152
IMG_00136,IMG_00136_annotation_000,Surface depression,0.6892,0.8901,0.355,0.2199
IMG_00136,IMG_00136_annotation_001,Surface depression,0.3258,0.8784,0.36,0.2113
IMG_00136,IMG_00136_annotation_002,Pothole,0.5175,0.4396,0.0567,0.0399
IMG_00136,IMG_00136_annotation_003,Pothole,0.6229,0.5785,0.1508,0.0813
IMG_00137,IMG_00137_annotation_000,Pothole,0.7071,0.7595,0.2642,0.1566
IMG_00137,IMG_00137_annotation_001,Surface depression,0.3046,0.6959,0.2292,0.1537
IMG_00137,IMG_00137_annotation_002,Surface depression,0.8058,0.5637,0.105,0.1906
IMG_00137,IMG_00137_annotation_003,Pothole,0.5292,0.6686,0.155,0.0931
IMG_00138,IMG_00138_annotation_000,Pothole,0.5546,0.6715,0.1658,0.1138
IMG_00138,IMG_00138_annotation_001,Pothole,0.4571,0.4492,0.0858,0.0384
