image_id,abnormality_type,severity,road_type,weather,lighting,occlusion,shape
IMG_00087,,severe,urban,cloudy,daylight,none,irregular
IMG_00088,,severe,urban,clear_dry,daylight,none,irregular
IMG_00089,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00090,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00091,,severe,urban,clear_dry,daylight,none,irregular
IMG_00092,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00093,,severe,urban,wet_road,daylight,none,irregular
IMG_00094,,severe,urban,wet_road,daylight,none,irregular
IMG_00095,,moderate,urban,wet_road,daylight,none,irregular
IMG_00096,,severe,urban,wet_road,daylight,vehicle_occluded,irregular
IMG_00097,,severe,urban,wet_road,daylight,none,irregular
IMG_00098,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00099,,severe,rural,clear_dry,daylight,none,irregular
IMG_00100,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00101,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00102,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00103,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00104,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00105,,severe,rural,clear_dry,daylight,vehicle_occluded,irregular
IMG_00106,,severe,rural,clear_dry,daylight,none,irregular
IMG_00107,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00108,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00109,,minor,rural,clear_dry,daylight,vehicle_occluded,circular
IMG_00110,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00111,,severe,urban,clear_dry,daylight,none,irregular
IMG_00112,,severe,residential,wet_road,daylight,none,irregular
IMG_00113,,severe,residential,wet_road,daylight,none,irregular
IMG_00114,,severe,urban,wet_road,daylight,partial,irregular
IMG_00115,,severe,residential,wet_road,daylight,partial,irregular
IMG_00116,,minor,residential,clear_dry,daylight,none,circular
IMG_00117,,moderate,residential,clear_dry,daylight,partial,circular
IMG_00118,,severe,urban,clear_dry,daylight,none,irregular
IMG_00119,,severe,urban,clear_dry,daylight,none,irregular
IMG_00120,,severe,urban,clear_dry,daylight,none,irregular
IMG_00121,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00122,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00123,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00124,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00125,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00126,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00127,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00128,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00129,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00130,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00131,,severe,urban,clear_dry,daylight,none,irregular
IMG_00132,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00133,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00134,,minor,residential,clear_dry,daylight,none,irregular
IMG_00135,,severe,urban,clear_dry,daylight,none,irregular
IMG_00136,,severe,urban,clear_dry,daylight,none,irregular
IMG_00137,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00138,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00139,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00140,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00141,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00142,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00143,,moderate,residential,clear_dry,daylight,none,longitudinal
IMG_00144,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00145,,severe,residential,clear_dry,daylight,none,irregular
IMG_00146,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00147,,severe,residential,clear_dry,daylight,none,irregular
IMG_00148,,minor,urban,clear_dry,daylight,none,circular
IMG_00149,,moderate,urban,clear_dry,daylight,none,circular
IMG_00150,,minor,urban,clear_dry,daylight,none,irregular
IMG_00151,,severe,urban,clear_dry,daylight,none,irregular
IMG_00152,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00153,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00154,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00155,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00156,,severe,urban,clear_dry,daylight,none,irregular
IMG_00157,,severe,urban,clear_dry,daylight,none,irregular
IMG_00158,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00159,,severe,residential,clear_dry,daylight,none,irregular
IMG_00160,,severe,urban,clear_dry,daylight,none,irregular
IMG_00161,,severe,residential,clear_dry,daylight,none,irregular
IMG_00162,,severe,residential,clear_dry,daylight,none,irregular
IMG_00163,,severe,urban,clear_dry,daylight,none,irregular
IMG_00164,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00165,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00166,,severe,urban,clear_dry,daylight,none,irregular
IMG_00167,,severe,residential,clear_dry,daylight,none,irregular
IMG_00168,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00169,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00170,,severe,urban,clear_dry,daylight,none,irregular
IMG_00171,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00172,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00173,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00174,,minor,urban,clear_dry,daylight,none,irregular
IMG_00175,,severe,urban,clear_dry,daylight,none,irregular
IMG_00176,,severe,urban,clear_dry,daylight,none,irregular
IMG_00177,,minor,residential,clear_dry,daylight,none,irregular
IMG_00178,,minor,residential,clear_dry,daylight,none,longitudinal
IMG_00179,,severe,residential,clear_dry,daylight,partial,irregular
IMG_00180,,moderate,residential,clear_dry,daylight,partial,irregular
IMG_00181,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00182,,minor,urban,clear_dry,daylight,none,circular
IMG_00183,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00184,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00185,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00186,,severe,urban,cloudy,daylight,none,irregular
IMG_00187,,severe,urban,wet_road,daylight,none,irregular
IMG_00188,,severe,urban,clear_dry,daylight,none,irregular
IMG_00189,,moderate,urban,cloudy,daylight,none,irregular
IMG_00190,,severe,urban,clear_dry,daylight,none,irregular
IMG_00191,,severe,urban,clear_dry,daylight,none,irregular
IMG_00192,,severe,urban,clear_dry,daylight,none,irregular
IMG_00193,,severe,urban,clear_dry,daylight,none,irregular
IMG_00194,,severe,urban,cloudy,daylight,none,irregular
IMG_00195,,severe,urban,clear_dry,daylight,none,irregular
IMG_00196,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00197,,minor,urban,clear_dry,daylight,none,circular
IMG_00198,,minor,urban,clear_dry,daylight,none,circular
IMG_00199,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00200,,minor,urban,clear_dry,daylight,none,irregular
IMG_00201,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00202,,severe,urban,clear_dry,daylight,none,irregular
IMG_00203,,severe,urban,clear_dry,daylight,none,irregular
IMG_00204,,minor,urban,wet_road,daylight,partial,irregular
IMG_00205,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00206,,minor,urban,clear_dry,daylight,none,irregular
IMG_00207,,minor,residential,clear_dry,daylight,none,irregular
IMG_00208,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00209,,severe,urban,wet_road,daylight,none,irregular
IMG_00210,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00211,,severe,urban,clear_dry,daylight,none,irregular
IMG_00212,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00213,,severe,urban,clear_dry,daylight,none,irregular
IMG_00214,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00215,,severe,urban,clear_dry,daylight,none,irregular
IMG_00216,,severe,urban,clear_dry,daylight,none,irregular
IMG_00217,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00218,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00219,,minor,urban,clear_dry,daylight,none,irregular
IMG_00220,,severe,urban,clear_dry,daylight,none,irregular
IMG_00221,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00222,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00223,,severe,urban,clear_dry,daylight,none,irregular
IMG_00224,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00225,,severe,residential,clear_dry,daylight,vehicle_occluded,irregular
IMG_00226,,severe,urban,clear_dry,daylight,none,longitudinal
IMG_00227,,severe,urban,clear_dry,daylight,none,irregular
IMG_00228,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00229,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00230,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00231,,severe,urban,clear_dry,daylight,none,irregular
IMG_00232,,severe,urban,clear_dry,daylight,none,longitudinal
IMG_00233,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00234,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00235,,minor,urban,clear_dry,daylight,none,irregular
IMG_00236,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00237,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00238,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00239,,minor,urban,clear_dry,daylight,none,irregular
IMG_00240,,minor,urban,clear_dry,daylight,none,circular
IMG_00241,,severe,urban,clear_dry,daylight,none,irregular
IMG_00242,,severe,urban,clear_dry,daylight,none,irregular
IMG_00243,,minor,urban,clear_dry,daylight,none,longitudinal
IMG_00244,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00245,,moderate,urban,clear_dry,daylight,none,longitudinal
IMG_00246,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00247,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00248,,severe,urban,clear_dry,daylight,none,irregular
IMG_00249,,severe,urban,clear_dry,daylight,none,irregular
IMG_00250,,severe,urban,clear_dry,daylight,none,irregular
IMG_00251,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00252,,severe,urban,clear_dry,daylight,none,irregular
IMG_00253,,severe,urban,clear_dry,daylight,none,irregular
IMG_00254,,severe,urban,clear_dry,daylight,none,irregular
IMG_00255,,severe,urban,clear_dry,daylight,none,irregular
IMG_00256,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00257,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00258,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00259,,minor,residential,clear_dry,daylight,partial,irregular
IMG_00260,,severe,urban,clear_dry,daylight,none,irregular
IMG_00261,,severe,urban,clear_dry,daylight,none,irregular
IMG_00262,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00263,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00264,,minor,urban,clear_dry,daylight,none,circular
IMG_00265,,minor,urban,clear_dry,daylight,none,irregular
IMG_00266,,minor,urban,clear_dry,daylight,none,irregular
IMG_00267,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00268,,minor,urban,clear_dry,daylight,none,circular
IMG_00269,,severe,urban,clear_dry,daylight,none,irregular
IMG_00270,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00271,,moderate,urban,clear_dry,daylight,none,circular
IMG_00272,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00273,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00274,,minor,urban,clear_dry,daylight,none,irregular
IMG_00275,,minor,urban,clear_dry,daylight,none,irregular
IMG_00276,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00277,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00278,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00279,,severe,urban,clear_dry,daylight,none,irregular
IMG_00280,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00281,,severe,urban,clear_dry,daylight,none,irregular
IMG_00282,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00283,,minor,urban,clear_dry,daylight,none,irregular
IMG_00284,,minor,urban,clear_dry,daylight,none,circular
IMG_00285,,minor,urban,clear_dry,daylight,none,circular
IMG_00286,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00287,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00288,,minor,urban,clear_dry,daylight,none,irregular
IMG_00289,,minor,urban,clear_dry,daylight,none,irregular
IMG_00290,,minor,urban,clear_dry,daylight,none,irregular
IMG_00291,,severe,urban,clear_dry,daylight,none,irregular
IMG_00292,,severe,urban,clear_dry,daylight,none,irregular
IMG_00293,,severe,urban,clear_dry,daylight,none,irregular
IMG_00294,,severe,urban,clear_dry,daylight,none,irregular
IMG_00295,,severe,urban,clear_dry,daylight,none,irregular
IMG_00296,,severe,urban,clear_dry,daylight,none,irregular
IMG_00297,,severe,urban,clear_dry,daylight,none,irregular
IMG_00298,,severe,urban,clear_dry,daylight,none,irregular
IMG_00299,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00300,,severe,rural,clear_dry,daylight,none,irregular
IMG_00301,,minor,urban,clear_dry,daylight,none,circular
IMG_00302,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00303,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00304,,severe,urban,clear_dry,daylight,none,irregular
IMG_00305,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00306,,minor,urban,clear_dry,daylight,none,irregular
IMG_00307,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00308,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00309,,minor,urban,clear_dry,daylight,none,circular
IMG_00310,,severe,residential,clear_dry,daylight,none,irregular
IMG_00311,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00312,,moderate,residential,wet_road,daylight,none,irregular
IMG_00313,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00314,,severe,urban,clear_dry,daylight,none,irregular
IMG_00315,,severe,urban,clear_dry,daylight,none,irregular
IMG_00316,,severe,urban,cloudy,daylight,none,irregular
IMG_00317,,severe,urban,cloudy,daylight,none,irregular
IMG_00318,,severe,urban,cloudy,daylight,none,irregular
IMG_00319,,severe,urban,clear_dry,daylight,none,irregular
IMG_00320,,severe,urban,clear_dry,daylight,none,irregular
IMG_00321,,severe,urban,cloudy,daylight,none,irregular
IMG_00322,,severe,urban,clear_dry,daylight,none,irregular
IMG_00323,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00324,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00325,,minor,urban,clear_dry,daylight,none,irregular
IMG_00326,,minor,urban,clear_dry,daylight,none,irregular
IMG_00327,,minor,urban,clear_dry,daylight,none,irregular
IMG_00328,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00329,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00330,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00331,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00332,,severe,urban,clear_dry,daylight,none,irregular
IMG_00333,,severe,urban,clear_dry,daylight,none,irregular
IMG_00334,,minor,urban,clear_dry,daylight,none,irregular
IMG_00335,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00336,,minor,urban,clear_dry,daylight,none,irregular
IMG_00337,,minor,urban,clear_dry,daylight,none,irregular
IMG_00338,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00339,,minor,urban,clear_dry,daylight,none,irregular
IMG_00340,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00341,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00342,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00343,,severe,urban,clear_dry,daylight,none,irregular
IMG_00344,,severe,urban,clear_dry,daylight,none,irregular
IMG_00345,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00346,,severe,urban,clear_dry,daylight,none,irregular
IMG_00347,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00348,,moderate,urban,wet_road,daylight,partial,irregular
IMG_00349,,moderate,urban,wet_road,daylight,partial,irregular
IMG_00350,,severe,urban,clear_dry,daylight,none,irregular
IMG_00351,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00352,,minor,urban,clear_dry,daylight,heavy,irregular
IMG_00353,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00354,,severe,urban,clear_dry,daylight,none,irregular
IMG_00355,,severe,urban,clear_dry,daylight,none,irregular
IMG_00356,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00357,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00358,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00359,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00360,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00361,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00362,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00363,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00364,,moderate,residential,clear_dry,daylight,none,irregular
IMG_00365,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00366,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00367,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00368,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00369,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00370,,minor,urban,clear_dry,daylight,none,irregular
IMG_00371,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00372,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00373,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00374,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00375,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00376,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00377,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00378,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00379,,minor,urban,clear_dry,daylight,none,irregular
IMG_00380,,minor,urban,clear_dry,daylight,none,irregular
IMG_00381,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00382,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00383,,severe,urban,clear_dry,daylight,none,irregular
IMG_00384,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00385,,minor,urban,clear_dry,daylight,none,irregular
IMG_00386,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00387,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00388,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00389,,severe,urban,clear_dry,daylight,none,irregular
IMG_00390,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00391,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00392,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00393,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00394,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00395,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00396,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00397,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00398,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00399,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00400,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00401,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00402,,severe,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00403,,severe,urban,clear_dry,daylight,none,irregular
IMG_00404,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00405,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00406,,minor,urban,clear_dry,daylight,none,irregular
IMG_00407,,moderate,urban,clear_dry,daylight,none,irregular
IMG_00408,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00409,,minor,urban,clear_dry,daylight,none,irregular
IMG_00410,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00411,,minor,urban,clear_dry,daylight,none,circular
IMG_00412,,minor,urban,clear_dry,daylight,none,irregular
IMG_00413,,minor,urban,clear_dry,daylight,none,irregular
IMG_00414,,minor,urban,clear_dry,daylight,none,irregular
IMG_00415,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00416,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00417,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00418,,moderate,urban,clear_dry,daylight,none,longitudinal
IMG_00419,,severe,urban,clear_dry,daylight,partial,irregular
IMG_00420,,moderate,urban,clear_dry,daylight,partial,irregular
IMG_00421,,minor,urban,clear_dry,daylight,none,irregular
IMG_00422,,minor,urban,clear_dry,daylight,none,irregular
IMG_00423,,minor,urban,clear_dry,daylight,none,irregular
IMG_00424,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00425,,minor,urban,clear_dry,daylight,none,irregular
IMG_00426,,minor,urban,clear_dry,daylight,none,irregular
IMG_00427,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00428,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00429,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00430,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00431,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00432,,minor,urban,clear_dry,daylight,none,irregular
IMG_00433,,minor,urban,clear_dry,daylight,none,irregular
IMG_00434,,moderate,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00435,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00436,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00437,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00438,,minor,urban,clear_dry,daylight,partial,irregular
IMG_00439,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00440,,minor,urban,clear_dry,daylight,none,irregular
IMG_00441,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00442,,minor,urban,clear_dry,daylight,vehicle_occluded,irregular
IMG_00443,,minor,urban,clear_dry,daylight,none,circular
IMG_00444,,minor,urban,clear_dry,daylight,none,irregular
