image_id,collection_state,district,latitude_grid,longitude_grid,pavement_type,traffic_density,collection_season,nearby_feature,slope_type,road_width_category,intersection_proximity
IMG_00086,Delhi,North West,28.776116,76.990462,mixed,medium,winter,commercial_area,flat,wide,mid_block
IMG_00087,Delhi,North West,28.72163,77.033806,mixed,medium,winter,commercial_area,flat,wide,mid_block
IMG_00088,Delhi,North West,28.798644,76.964193,mixed,medium,summer,commercial_area,flat,wide,near_intersection
IMG_00089,Delhi,North West,28.715212,77.072085,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00090,Delhi,North West,28.7534,76.993809,mixed,low,winter,commercial_area,flat,narrow,mid_block
IMG_00091,Delhi,North West,28.704027,77.025156,unpaved,low,summer,commercial_area,flat,medium,mid_block
IMG_00092,Delhi,North West,28.722184,77.098383,asphalt,medium,summer,commercial_area,flat,medium,mid_block
IMG_00093,Delhi,North West,28.750892,76.99644,unpaved,low,monsoon,commercial_area,flat,medium,mid_block
IMG_00094,Delhi,North West,28.721935,77.061929,mixed,low,post_monsoon,commercial_area,flat,medium,mid_block
IMG_00095,Delhi,North West,28.770253,76.999106,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00096,Delhi,North West,28.725051,77.006912,asphalt,medium,winter,commercial_area,flat,medium,mid_block
IMG_00097,Delhi,North West,28.759228,76.975535,mixed,low,winter,market,flat,narrow,mid_block
IMG_00098,Delhi,North West,28.719901,77.071669,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00099,Delhi,North West,28.780397,76.962705,mixed,low,summer,none,flat,medium,mid_block
IMG_00100,Delhi,North West,28.743393,76.987381,mixed,low,winter,residential_building,flat,medium,near_intersection
IMG_00101,Delhi,North West,28.718536,76.989559,mixed,low,summer,residential_building,flat,medium,near_intersection
IMG_00102,Delhi,North West,28.733252,77.069106,mixed,low,winter,residential_building,flat,medium,near_intersection
IMG_00103,Delhi,North West,28.741934,76.98015,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00104,Delhi,North West,28.749964,76.973675,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00105,Delhi,North West,28.707734,77.031481,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00106,Delhi,North West,28.717405,77.008147,unpaved,low,winter,none,flat,medium,mid_block
IMG_00107,Delhi,North West,28.706527,77.067431,unpaved,low,summer,none,flat,medium,mid_block
IMG_00108,Delhi,North West,28.76226,76.989306,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00109,Delhi,North West,28.71182,77.056666,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00110,Delhi,North West,28.785681,76.971409,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00111,Delhi,North West,28.730175,77.068796,unpaved,low,summer,school,flat,medium,mid_block
IMG_00112,Delhi,North West,28.781491,76.964741,unpaved,low,monsoon,residential_building,flat,medium,mid_block
IMG_00113,Delhi,North West,28.703431,77.085257,unpaved,low,monsoon,residential_building,flat,medium,mid_block
IMG_00114,Delhi,North West,28.744997,77.015713,unpaved,low,monsoon,none,flat,narrow,mid_block
IMG_00115,Delhi,North West,28.754875,77.010636,unpaved,low,winter,residential_building,flat,narrow,near_intersection
IMG_00116,Delhi,North West,28.703894,77.117841,unpaved,low,summer,none,flat,medium,mid_block
IMG_00117,Delhi,North West,28.724843,77.091438,asphalt,low,summer,none,flat,medium,mid_block
IMG_00118,Delhi,North West,28.724629,77.098967,mixed,low,winter,none,flat,medium,near_intersection
IMG_00119,Delhi,North West,28.796224,76.966587,mixed,low,winter,residential_building,flat,medium,near_intersection
IMG_00120,Delhi,North West,28.717464,77.089644,unpaved,low,winter,none,flat,medium,mid_block
IMG_00121,Delhi,North West,28.77973,76.999395,mixed,low,winter,none,flat,medium,mid_block
IMG_00122,Delhi,North West,28.691749,77.115639,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00123,Delhi,North West,28.701357,77.076189,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00124,Delhi,North West,28.778534,77.004575,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00125,Delhi,North West,28.779943,76.998469,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00126,Delhi,North West,28.71403,76.989033,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00127,Delhi,North West,28.715172,76.990954,unpaved,low,winter,residential_building,flat,narrow,near_intersection
IMG_00128,Delhi,North West,28.758462,76.999056,unpaved,low,summer,residential_building,flat,narrow,mid_block
IMG_00129,Delhi,North West,28.779251,76.973442,asphalt,low,winter,commercial_area,flat,medium,near_intersection
IMG_00130,Delhi,North West,28.699889,77.060507,unpaved,low,summer,residential_building,flat,wide,at_intersection
IMG_00131,Delhi,North West,28.762117,77.004165,unpaved,low,winter,residential_building,flat,medium,at_intersection
IMG_00132,Delhi,North West,28.791133,76.990643,unpaved,low,summer,residential_building,flat,wide,mid_block
IMG_00133,Delhi,North West,28.716912,76.988106,unpaved,low,summer,residential_building,flat,medium,near_intersection
IMG_00134,Delhi,North West,28.774541,76.978767,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00135,Delhi,North West,28.76606,77.001989,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00136,Delhi,North West,28.719928,77.073919,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00137,Delhi,North West,28.795702,76.963947,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00138,Delhi,North West,28.711582,77.004819,asphalt,low,winter,drainage_channel,flat,medium,mid_block
IMG_00139,Delhi,North West,28.727202,76.973109,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00140,Delhi,North West,28.753326,76.96551,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00141,Delhi,North West,28.731494,76.994913,mixed,low,winter,none,flat,narrow,mid_block
IMG_00142,Delhi,North West,28.702085,77.118035,mixed,low,winter,residential_building,flat,narrow,mid_block
IMG_00143,Delhi,North West,28.776051,76.998226,asphalt,low,summer,residential_building,flat,medium,mid_block
IMG_00144,Delhi,North West,28.695579,77.082452,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00145,Delhi,North West,28.753063,76.967379,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00146,Delhi,North West,28.734759,77.009265,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00147,Delhi,North West,28.732447,77.071621,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00148,Delhi,North West,28.748365,77.006013,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00149,Delhi,North West,28.741916,77.040634,mixed,low,summer,construction_site,flat,medium,mid_block
IMG_00150,Delhi,North West,28.71434,77.014191,mixed,low,summer,construction_site,flat,medium,mid_block
IMG_00151,Delhi,North West,28.787217,76.986814,mixed,low,summer,residential_building,flat,medium,mid_block
IMG_00152,Delhi,North West,28.705917,77.119979,asphalt,low,winter,residential_building,flat,medium,mid_block
IMG_00153,Delhi,North West,28.767977,76.992998,asphalt,low,winter,residential_building,flat,medium,mid_block
IMG_00154,Delhi,North West,28.710621,77.046905,asphalt,low,winter,residential_building,flat,medium,mid_block
IMG_00155,Delhi,North West,28.760769,76.967719,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00156,Delhi,North West,28.749208,76.971917,unpaved,low,summer,commercial_area,flat,medium,mid_block
IMG_00157,Delhi,North West,28.725269,77.096027,unpaved,low,summer,commercial_area,flat,narrow,mid_block
IMG_00158,Delhi,North West,28.725628,77.08829,mixed,low,summer,residential_building,flat,medium,near_intersection
IMG_00159,Delhi,North West,28.726467,77.003252,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00160,Delhi,North West,28.752797,76.977303,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00161,Delhi,North West,28.759028,77.01131,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00162,Delhi,North West,28.748431,77.00727,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00163,Delhi,North West,28.714476,77.072283,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00164,Delhi,North West,28.763257,76.992005,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00165,Delhi,North West,28.789198,76.959144,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00166,Delhi,North West,28.773822,76.978301,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00167,Delhi,North West,28.733562,77.071453,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00168,Delhi,North West,28.738839,77.006384,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00169,Delhi,North West,28.801527,76.957803,mixed,low,winter,commercial_area,flat,medium,near_intersection
IMG_00170,Delhi,North West,28.699168,77.060804,unpaved,low,winter,commercial_area,flat,medium,mid_block
IMG_00171,Delhi,North West,28.702991,77.061252,unpaved,low,summer,commercial_area,flat,narrow,mid_block
IMG_00172,Delhi,North West,28.696312,77.089352,unpaved,low,winter,residential_building,flat,narrow,near_intersection
IMG_00173,Delhi,North West,28.727808,77.016452,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00174,Delhi,North West,28.708991,77.043501,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00175,Delhi,North West,28.708678,77.031386,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00176,Delhi,North West,28.722793,76.995771,mixed,low,summer,residential_building,flat,medium,near_intersection
IMG_00177,Delhi,North West,28.71057,77.028026,asphalt,low,winter,drainage_channel,flat,medium,mid_block
IMG_00178,Delhi,North West,28.734454,77.053261,asphalt,low,winter,residential_building,flat,narrow,mid_block
IMG_00179,Delhi,North West,28.722299,77.097858,unpaved,low,summer,residential_building,flat,medium,mid_block
IMG_00180,Delhi,North West,28.715821,77.018156,concrete,low,winter,residential_building,flat,medium,mid_block
IMG_00181,Delhi,North West,28.751978,76.992636,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00182,Delhi,North West,28.725403,77.049517,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00183,Delhi,North West,28.726895,77.089822,mixed,low,winter,commercial_area,flat,medium,mid_block
IMG_00184,Delhi,North West,28.772748,77.005047,unpaved,low,winter,residential_building,flat,medium,mid_block
IMG_00185,Delhi,North West,28.7837,76.967187,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00186,Delhi,North West,28.72803,77.080931,mixed,low,winter,construction_site,flat,wide,near_intersection
IMG_00187,Delhi,North West,28.733582,76.971519,unpaved,low,winter,parking_area,flat,wide,near_intersection
IMG_00188,Delhi,North West,28.693643,77.104595,mixed,low,winter,commercial_area,flat,wide,mid_block
IMG_00189,Delhi,North West,28.728931,77.02224,mixed,low,winter,residential_building,flat,wide,mid_block
IMG_00190,Delhi,North West,28.708253,77.115327,mixed,low,summer,school,flat,medium,near_intersection
IMG_00191,Delhi,North West,28.729208,77.036832,unpaved,medium,winter,commercial_area,flat,medium,near_intersection
IMG_00192,Delhi,North West,28.702831,77.105118,mixed,medium,winter,commercial_area,flat,wide,at_intersection
IMG_00193,Delhi,North West,28.707729,77.030087,mixed,medium,winter,commercial_area,flat,wide,at_intersection
IMG_00194,Delhi,North West,28.784961,76.978329,mixed,low,winter,commercial_area,flat,wide,near_intersection
IMG_00195,Delhi,North West,28.743279,76.968725,mixed,medium,winter,market,flat,wide,mid_block
IMG_00196,Delhi,North West,28.811603,76.957252,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00197,Delhi,North West,28.737632,77.028312,asphalt,medium,winter,commercial_area,flat,medium,mid_block
IMG_00198,Delhi,North West,28.703107,77.070238,asphalt,low,summer,residential_building,flat,medium,mid_block
IMG_00199,Delhi,North West,28.736123,77.020483,mixed,medium,winter,commercial_area,flat,medium,mid_block
IMG_00200,Delhi,North West,28.706489,77.049283,asphalt,low,summer,commercial_area,flat,medium,near_intersection
IMG_00201,Delhi,North West,28.699192,77.08399,mixed,low,summer,construction_site,flat,medium,near_intersection
IMG_00202,Delhi,North West,28.716832,76.988958,unpaved,low,summer,construction_site,flat,medium,mid_block
IMG_00203,Delhi,North West,28.709243,77.107414,unpaved,low,winter,construction_site,flat,medium,mid_block
IMG_00204,Delhi,North West,28.72237,76.981785,asphalt,medium,winter,commercial_area,flat,medium,mid_block
IMG_00205,Delhi,North West,28.72075,77.007615,asphalt,low,summer,construction_site,flat,narrow,mid_block
IMG_00206,Delhi,North West,28.704342,77.038773,asphalt,low,summer,construction_site,flat,medium,mid_block
IMG_00207,Delhi,North West,28.810825,76.959095,asphalt,low,summer,residential_building,flat,medium,mid_block
IMG_00208,Delhi,North West,28.806278,76.964307,unpaved,low,winter,construction_site,flat,wide,mid_block
IMG_00209,Delhi,North West,28.700743,77.056848,unpaved,low,post_monsoon,parking_area,flat,medium,mid_block
IMG_00210,Delhi,North West,28.767539,76.968752,unpaved,medium,winter,commercial_area,flat,wide,mid_block
IMG_00211,Delhi,North West,28.782233,76.988798,unpaved,medium,winter,commercial_area,flat,wide,mid_block
IMG_00212,Delhi,North West,28.747948,76.991128,unpaved,low,summer,residential_building,flat,wide,mid_block
IMG_00213,Delhi,North West,28.733609,77.030062,unpaved,low,summer,construction_site,flat,wide,mid_block
IMG_00214,Delhi,North West,28.74342,76.968044,unpaved,low,winter,none,flat,wide,mid_block
IMG_00215,Delhi,North West,28.738112,76.978003,unpaved,low,summer,residential_building,flat,wide,mid_block
IMG_00216,Delhi,North West,28.80797,76.963207,unpaved,low,winter,residential_building,flat,wide,mid_block
IMG_00217,Delhi,North West,28.796357,76.967723,asphalt,low,summer,none,flat,wide,mid_block
IMG_00218,Delhi,North West,28.702751,77.079429,asphalt,low,winter,residential_building,flat,wide,mid_block
IMG_00219,Delhi,North West,28.732427,76.972741,asphalt,low,summer,residential_building,flat,wide,mid_block
IMG_00220,Delhi,North West,28.7669,77.012438,mixed,low,summer,commercial_area,flat,wide,mid_block
IMG_00221,Delhi,North West,28.764036,76.988402,unpaved,low,winter,residential_building,flat,wide,mid_block
IMG_00222,Delhi,North West,28.774071,76.990393,unpaved,low,winter,commercial_area,flat,wide,mid_block
IMG_00223,Delhi,North West,28.704235,77.09787,unpaved,low,summer,commercial_area,flat,wide,mid_block
IMG_00224,Delhi,North West,28.724508,76.982809,unpaved,low,summer,parking_area,flat,very_wide,mid_block
IMG_00225,Delhi,North West,28.779923,77.005056,mixed,low,summer,none,flat,medium,mid_block
IMG_00226,Delhi,North West,28.741484,76.97614,asphalt,low,winter,none,flat,wide,mid_block
IMG_00227,Delhi,North West,28.78545,76.988817,unpaved,medium,summer,parking_area,flat,wide,near_intersection
IMG_00228,Delhi,North West,28.743909,77.010578,unpaved,low,summer,commercial_area,flat,wide,near_intersection
IMG_00229,Delhi,North West,28.710498,77.058499,unpaved,low,summer,parking_area,flat,wide,near_intersection
IMG_00230,Delhi,North West,28.776265,76.998674,unpaved,low,summer,construction_site,flat,wide,mid_block
IMG_00231,Delhi,North West,28.746737,76.998858,unpaved,low,winter,construction_site,flat,wide,mid_block
IMG_00232,Delhi,North West,28.786575,76.971285,unpaved,low,summer,construction_site,flat,wide,mid_block
IMG_00233,Delhi,North West,28.745193,77.000603,unpaved,low,winter,construction_site,flat,wide,mid_block
IMG_00234,Delhi,North West,28.775395,76.95945,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00235,Delhi,North West,28.722989,77.008368,asphalt,low,summer,construction_site,flat,medium,mid_block
IMG_00236,Delhi,North West,28.712826,77.01738,asphalt,low,summer,construction_site,flat,medium,mid_block
IMG_00237,Delhi,North West,28.699634,77.100706,asphalt,low,winter,parking_area,flat,medium,mid_block
IMG_00238,Delhi,North West,28.740845,77.005279,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00239,Delhi,North West,28.733683,77.009224,asphalt,low,winter,construction_site,flat,medium,mid_block
IMG_00240,Delhi,North West,28.711863,77.039922,asphalt,low,summer,construction_site,flat,medium,mid_block
IMG_00241,Delhi,North West,28.704975,77.039831,mixed,low,summer,construction_site,flat,medium,mid_block
IMG_00242,Delhi,North West,28.709102,76.985726,mixed,low,summer,construction_site,flat,medium,mid_block
IMG_00243,Delhi,North West,28.773915,76.982243,mixed,low,winter,school,flat,medium,at_intersection
IMG_00244,Delhi,North West,28.770313,76.977712,asphalt,low,winter,school,flat,medium,mid_block
IMG_00245,Delhi,North West,28.729011,76.999119,mixed,low,winter,parking_area,flat,wide,mid_block
IMG_00246,Delhi,North West,28.729978,77.029788,asphalt,low,winter,parking_area,flat,wide,mid_block
IMG_00247,Delhi,North West,28.6977,77.095504,mixed,low,summer,construction_site,flat,wide,mid_block
IMG_00248,Delhi,North West,28.700226,77.101137,mixed,low,winter,construction_site,flat,wide,mid_block
IMG_00249,Delhi,North West,28.731393,77.033891,mixed,low,summer,construction_site,flat,wide,mid_block
IMG_00250,Delhi,North West,28.703635,77.107171,unpaved,low,winter,commercial_area,flat,wide,near_intersection
IMG_00251,Delhi,North West,28.754695,76.98145,mixed,low,winter,residential_building,flat,medium,mid_block
IMG_00252,Delhi,North West,28.721999,77.027339,mixed,low,winter,construction_site,flat,medium,mid_block
IMG_00253,Delhi,North West,28.710668,77.016107,mixed,low,summer,construction_site,flat,wide,mid_block
IMG_00254,Delhi,North West,28.726474,77.022322,mixed,low,winter,commercial_area,flat,medium,near_intersection
IMG_00255,Delhi,North West,28.733537,77.055046,mixed,low,summer,construction_site,flat,wide,mid_block
IMG_00256,Delhi,North West,28.776827,77.000758,mixed,low,winter,construction_site,flat,medium,mid_block
IMG_00257,Delhi,North West,28.7329,77.052425,concrete,low,winter,construction_site,flat,wide,near_intersection
IMG_00258,Delhi,North West,28.708463,77.012122,asphalt,low,winter,commercial_area,flat,wide,near_intersection
IMG_00259,Delhi,North West,28.736524,77.014333,concrete,low,summer,residential_building,flat,medium,mid_block
IMG_00260,Delhi,North West,28.713408,76.988654,mixed,low,summer,residential_building,flat,medium,mid_block
IMG_00261,Delhi,North West,28.700282,77.097707,unpaved,low,winter,commercial_area,flat,wide,near_intersection
IMG_00262,Delhi,North West,28.703334,77.084979,mixed,medium,winter,commercial_area,flat,medium,near_intersection
IMG_00263,Delhi,North West,28.788022,76.974267,mixed,medium,winter,residential_building,flat,medium,near_intersection
IMG_00264,Delhi,North West,28.73842,76.979665,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00265,Delhi,North West,28.793463,76.980235,asphalt,low,winter,commercial_area,flat,medium,mid_block
IMG_00266,Delhi,North West,28.746181,77.022684,mixed,low,summer,commercial_area,flat,medium,mid_block
IMG_00267,Delhi,North West,28.77657,76.992692,asphalt,low,winter,traffic_signal,flat,medium,at_intersection
IMG_00268,Delhi,North West,28.747011,77.000894,asphalt,low,winter,market,flat,medium,mid_block
IMG_00269,Delhi,North West,28.758446,77.00514,mixed,low,winter,commercial_area,flat,medium,mid_block
